"PlanetIdentifier","TypeFlag","PlanetaryMassJpt","RadiusJpt","PeriodDays","SemiMajorAxisAU","Eccentricity","PeriastronDeg","LongitudeDeg","AscendingNodeDeg","InclinationDeg","SurfaceTempK","AgeGyr","DiscoveryMethod","DiscoveryYear","LastUpdated","RightAscension","Declination","DistFromSunParsec","HostStarMassSlrMass","HostStarRadiusSlrRad","HostStarMetallicity","HostStarTempK","HostStarAgeGyr","ListsPlanetIsOn","Probability_of_life"
"Kepler-1046 b",0,1.59290188698118,0.153,14.37508035,-7.71086007918065,0.379376417740473,-52.1473215275217,230.003547333437,-6.0240454715758,72.6140297113819,344.322937711913,1.94089028544311,"transit",2016,"16/05/10","19 47 01","+46 59 54",1071.5491464438,1.04,1.04,0,5913,4.87922227903181,"Confirmed planets",0
"Kepler-1047 b",0,13.8332957175869,0.186,56.1886887,1.83380712969137,0.4972572329102,95.6501962212874,318.997813940973,41.8218254867705,84.6710317718719,906.901898598264,-0.301312909076316,"transit",2016,"16/05/10","19 14 35","+50 47 20",1388.89370071528,1.08,1.13,0.29,5754,10.5836380584519,"Confirmed planets",0
"Kepler-1047 c",0,-7.09395596971516,0.088,3.18897601,-42.9073823774293,-0.277177161421599,170.88305007737,243.774761825923,132.363463172679,115.531255919192,395.262323028128,2.53336724644419,"transit",2016,"16/05/10","19 14 35","+50 47 20",773.078349911803,1.08,1.13,0.29,5754,3.42313883936212,"Confirmed planets",0
"Kepler-1048 b",0,-3.22254727578245,0.144,6.92101021,-10.0049235134469,0.147422865178289,310.486748845546,194.05827856514,140.710753609407,65.7446945474373,879.587502728423,2.05096173701085,"transit",2016,"16/05/10","18 47 36","+42 09 57",461.887910487936,0.75,0.7,0.01,4651,11.2383903328658,"Confirmed planets",0
"Kepler-1049 b",0,2.34076175231305,0.085,3.27346074,-18.0483825213224,0.162104265084327,274.836313060676,152.336138015294,217.266803653702,88.0527682679265,1053.76797960852,1.59280069329594,"transit",2016,"16/05/10","19 09 23","+47 46 23",-1260.74412734525,0.51,0.49,-0.33,3864,4.84802106946549,"Confirmed planets",0
"Kepler-105 b",0,3.27270706467868,0.25972,5.4122,22.1386064191356,0.140314896762566,232.263722250268,260.908065470394,143.001462954796,106.287561348088,1576.7534055382,0.57204327781451,"transit",2014,"16/01/13","19 11 32","+46 16 34",488.45,1.18,1.16,-0.23583232226001,5873,-0.315389985143683,"Confirmed planets",0
"Kepler-105 c",0,0.014483,0.14672,7.125939,-10.7768154124916,-0.0924521084810499,349.218223354254,241.960854792996,151.631989342233,125.506019237468,979.12972916858,0.116543678968938,"transit",2014,"16/01/13","19 11 32","+46 16 34",488.45,1.18,1.16,0.0509640897946157,5873,6.52967608132631,"Confirmed planets",0
"Kepler-1050 b",0,-0.0457409426293616,0.143,15.3787546,0.337386004483479,0.172287234143122,79.1678326063893,227.610462199835,43.9113842172682,79.0901055180505,788.785733834815,0.128033080488617,"transit",2016,"16/05/10","18 51 42","+48 37 35",664.298182011224,1.09,1.13,0.03,6010,9.33932149711298,"Confirmed planets",0
"Kepler-1050 c",0,1.24521172239428,0.132,21.1284569,9.07436579169656,0.271025223429816,64.5715908646956,249.302858764644,121.42024662714,99.220080589876,945.962923772143,0.509652394318286,"transit",2016,"16/05/10","18 51 42","+48 37 35",117.78704178947,1.09,1.13,0.03,6010,1.08876276685915,"Confirmed planets",0
"Kepler-1051 b",0,6.20087843818878,0.303,25.96200249,-2.48998182220395,0.20914679158693,62.6351730286687,127.521393062026,121.614453255196,73.6625786893104,487.985862763024,1.6113571122779,"transit",2016,"16/05/10","19 40 38","+40 53 56",697.603429767129,1.43,1.73,0.04,6675,-2.59036269751816,"Confirmed planets",0
"Kepler-1052 b",0,4.03048952267952,0.261,34.8538276,-29.5782448252784,-0.145708967224779,169.527275017726,252.617914846042,85.5154987903352,76.4794874783328,851.578184186979,1.80124973876978,"transit",2016,"16/05/10","19 41 22","+46 36 08",1018.47079030704,1.03,1.03,0,5888,4.60573473210759,"Confirmed planets",0
"Kepler-1053 b",0,13.0546838500715,0.087,2.41435165,-21.0068050182821,0.00537693988002422,107.595154442501,371.89920757009,121.285128490757,106.137778721387,917.648139922262,1.11956820823593,"transit",2016,"16/05/10","19 25 40","+39 07 39",663.518976532866,0.74,0.69,0.1,4529,6.17851314738277,"Confirmed planets",0
"Kepler-1054 b",0,4.46950456252716,0.235,4.30655689,-13.3287036485947,0.16071765768819,43.473606555237,195.71932648064,79.1324702209814,67.4554545974815,665.815120182925,1.69510009605037,"transit",2016,"16/05/10","19 22 24","+44 33 23",1557.347005518,1.22,1.34,0.09,6209,-1.09457476870843,"Confirmed planets",0
"Kepler-1055 b",0,3.59935635544338,0.11,2.29503623,10.549594533032,0.259764752964589,-9.75230247972641,185.067849534017,61.7788416874834,90.6032443638655,422.97704741709,1.19280327349748,"transit",2016,"16/05/10","19 21 57","+44 55 57",695.566556091307,0.98,0.94,-0.02,5723,6.19240381303242,"Confirmed planets",0
"Kepler-1056 b",0,6.67968953801989,0.269,27.495606,-20.5991022473664,0.00803423193928543,92.6270763635813,346.156075447607,55.9333266866061,91.4861060780798,1367.14880045708,0.146685903261586,"transit",2016,"16/05/10","19 58 06","+46 53 57",903.834777177646,1.12,1.2,0.02,6127,0.442904445486948,"Confirmed planets",0
"Kepler-1057 b",0,0.983559065071896,0.3,14.08827448,-25.9410246054774,-0.100905818968976,164.329345546908,272.815210285951,75.8811567686951,70.9730930387448,1082.34901505208,0.103817645135924,"transit",2016,"16/05/10","19 49 49","+41 33 29",421.578929155404,1.07,1.1,0.01,5987,2.87926988157741,"Confirmed planets",0
"Kepler-1058 b",0,-2.93723608910567,0.243,110.96546,-9.04202793687583,0.266589000552862,106.79624935885,166.957078322279,43.2371515053884,105.927370252891,351.730374379709,4.22558994588668,"transit",2016,"16/05/10","19 38 23","+45 52 30",-505.313840779722,0.73,0.69,-0.06,4644,8.69163373725883,"Confirmed planets",1
"Kepler-1059 b",0,-0.3189057930296,0.154,3.76419105,8.78264533244244,-0.104027436746609,99.1553520128682,109.911262545383,189.92414433686,84.2508134817191,679.134018099401,2.33444546757039,"transit",2016,"16/05/10","19 16 53","+41 42 23",-161.179903556973,0.75,0.72,-0.15,4906,5.80163749758342,"Confirmed planets",0
"Kepler-106 b",0,2.81888203534126,0.074727,6.16486,-13.1502135350553,-0.0403272373377933,259.700415440685,220.267491334459,142.823077888454,82.1689858850746,728.896074243834,2.36496803714323,"transit",2014,"14/02/24","20 03 27","+44 20 15",453.9,1,1.04,-0.12,5858,4.83,"Confirmed planets",0
"Kepler-106 c",0,0.032841,0.227826,13.5708,-2.97515357702615,-0.0138938235894408,-173.833525070022,321.042425412647,-24.7193158362721,60.6876097743669,381.281064121504,2.89169755380306,"transit",2014,"14/02/24","20 03 27","+44 20 15",453.9,1,1.04,-0.12,5858,4.83,"Confirmed planets",0
"Kepler-106 d",0,17.5425102105138,0.086574,23.9802,9.91723243286098,0.408788568251128,239.27123635658,122.088961362703,188.292311014506,62.0625143805822,1152.1441623621,2.55731431598589,"transit",2014,"14/02/24","20 03 27","+44 20 15",453.9,1,1.04,-0.12,5858,4.83,"Confirmed planets",0
"Kepler-106 e",0,0.035137,0.233294,43.8445,-10.8977619984658,0.269670471690634,140.3429119912,244.678315591423,61.1792327841678,58.7013227657749,484.608257752904,1.50090360502428,"transit",2014,"14/02/24","20 03 27","+44 20 15",453.9,1,1.04,-0.12,5858,4.83,"Confirmed planets",0
"Kepler-1060 b",0,-7.87027157992063,0.212,46.8779367,-50.1597210477014,0.154094307195609,281.820369513782,146.726524997757,140.318148394546,92.3987080768667,-258.998630103663,0.780247700970994,"transit",2016,"16/05/10","19 04 06","+39 37 51",-234.802126332591,0.99,0.99,-0.03,5797,2.97273912438311,"Confirmed planets",0
"Kepler-1061 b",0,10.0749313191552,0.177,2.75798267,-11.7691564752057,-0.109573801871215,291.270816200431,216.741643111089,136.268419294063,95.2305496857619,804.31471321262,1.35071980905144,"transit",2016,"16/05/10","19 44 55","+50 16 31",1311.41688495881,1.09,1.07,-0.03,6067,4.26132542348109,"Confirmed planets",0
"Kepler-1062 b",0,-2.42755941856174,0.157,9.30412078,-8.395452758288,0.0418326494435838,255.125084214618,246.311100769819,262.427279030006,72.6796781028475,1068.53434216434,1.45899379452166,"transit",2016,"16/05/10","18 55 36","+41 13 18",287.703017409101,0.75,0.7,0.11,4597,-2.67568281105215,"Confirmed planets",0
"Kepler-1063 b",0,-2.47347868423788,0.133,14.07971466,1.86228638384162,0.177591395326537,130.609038304615,194.285321215192,109.85966533016,77.784402673093,1016.89012630937,2.30905518709128,"transit",2016,"16/05/10","19 22 06","+38 08 35",1392.49296268008,1.09,1.14,0.09,5945,1.62935195409583,"Confirmed planets",0
"Kepler-1064 b",0,-11.3014377768296,0.138,16.54080322,2.0797268261608,0.253680758564466,136.114734220732,309.454821562739,70.6218375625771,74.5106754156376,1040.47541051654,1.84222055292273,"transit",2016,"16/05/10","19 26 58","+37 41 20",202.522177924576,0.85,0.79,0,5153,8.44062097731634,"Confirmed planets",0
"Kepler-1065 b",0,-2.14936744447449,0.333,3.60930891,-26.3316845992655,0.202841062435125,93.9546927772571,296.399489695737,31.7470490416697,104.335142607602,265.521325914591,0.840197630063262,"transit",2016,"16/05/10","19 38 03","+38 47 26",1405.93002548801,0.94,0.93,-0.01,5635,-0.167015663972897,"Confirmed planets",0
"Kepler-1065 c",0,8.41110534200281,0.143,2.37030743,-14.5304340993,-0.336058540822857,205.645414299975,3.0914504461573,266.892958617266,83.1244175269106,441.356847651803,2.43528794350987,"transit",2016,"16/05/10","19 38 03","+38 47 26",287.120788451199,0.94,0.93,-0.01,5635,4.74233440564457,"Confirmed planets",0
"Kepler-1066 b",0,1.08236532622174,0.211,1.93155984,-8.67762382179532,0.182120597895464,140.13012321837,246.165364390752,45.8268831613856,113.617641973191,513.580811687343,0.496885791579683,"transit",2016,"16/05/10","19 55 28","+46 30 08",1333.23443828605,0.98,0.98,-0.03,5762,6.00654531580368,"Confirmed planets",0
"Kepler-1067 b",0,-1.29323710397301,0.071,0.76212926,18.0076703986043,0.322754843802471,61.7248198298611,97.4139496521984,138.245411190387,79.2209176248384,393.101219608481,1.96507591149274,"transit",2016,"16/05/10","19 01 33","+45 02 57",-356.368176813026,0.95,0.93,0.03,5592,12.6536370605739,"Confirmed planets",0
"Kepler-1068 b",0,19.1600675915175,0.324,16.92344113,2.56687832702169,0.497394973786315,62.6349456236773,308.244694582753,6.11334090506108,101.361179614166,663.245628892174,0.0961105503991788,"transit",2016,"16/05/10","19 38 36","+46 23 33",1168.82781109428,1.01,1.01,0.03,5806,9.76891123227087,"Confirmed planets",0
"Kepler-1069 b",0,-7.65540092865987,0.143,23.8990296,-30.5988495891371,-0.151782746886805,111.338668398919,131.031475271366,173.792894691195,109.241942517348,269.766331105079,2.29744831938568,"transit",2016,"16/05/10","19 23 55","+47 59 20",-311.802696115125,0.99,0.98,0.04,5722,0.259306641780437,"Confirmed planets",0
"Kepler-107 b",0,-5.68296181340815,0.14216,3.179997,0.0448,0.02,131.611269784127,80.1753880604864,129.268419875764,87.1,259.908260589791,1.18753028618343,"transit",2014,"14/02/26","19 48 06","+48 12 30",512.66,1.183,1.411,0.27,5851,13.0140898531834,"Confirmed planets",0
"Kepler-107 c",0,-6.82920865731295,0.16495,4.901425,0.0597,0.02,109.376129721647,43.0168179866074,236.882589777759,85.1,50.3075394554064,1.47637868548993,"transit",2014,"14/02/26","19 48 06","+48 12 30",512.66,1.183,1.411,0.27,5851,0.700102025898418,"Confirmed planets",0
"Kepler-107 d",0,18.5439298054588,0.09751,7.958203,0.0825,0.14,144.676330818865,52.7884069781402,172.85082402405,88.8,33.0716559091334,2.18831517233233,"transit",2014,"14/02/26","19 48 06","+48 12 30",512.66,1.183,1.411,0.27,5851,15.6928165195916,"Confirmed planets",0
"Kepler-107 e",0,-8.3014115181531,0.3144,14.749049,0.124,0.02,131.498207075712,225.414668456936,111.460940712341,87.3,774.542730754606,1.10623374140367,"transit",2014,"14/02/26","19 48 06","+48 12 30",512.66,1.183,1.411,0.27,5851,7.80890844457596,"Confirmed planets",0
"Kepler-1070 b",0,-2.41567095169623,0.154,6.2216147,-27.5760510753369,-0.160264294436614,69.6509675997704,296.728139380999,81.5750083947444,79.5367745183403,879.865291694581,-0.193997965263478,"transit",2016,"16/05/10","19 32 47","+49 18 59",-629.327788900314,1.21,1.32,0.03,6261,6.02232618556995,"Confirmed planets",0
"Kepler-1071 b",0,24.1287703623294,0.212,6.1799844,-12.567936124374,0.029030700819604,125.810570450578,245.436105513532,208.57580587389,63.601396117628,1326.27073631546,2.08879699154518,"transit",2016,"16/05/10","19 32 14","+45 14 56",197.563058922422,0.86,0.81,0.01,5215,0.357953541954132,"Confirmed planets",0
"Kepler-1072 b",0,-9.67318889908428,0.141,1.5690665,-5.87847222119032,-0.0931681839458994,222.20261580145,153.162307626211,187.320819322661,55.6145183094078,869.31266861007,1.6634007005864,"transit",2016,"16/05/10","19 28 11","+46 19 44",585.812717418878,1.2,1.32,0.07,6199,0.698601810830942,"Confirmed planets",0
"Kepler-1073 b",0,-2.2518435241359,0.205,8.67888593,11.8555881904424,0.380391925720157,144.135459824078,173.685889896906,120.524879882849,78.3997704449058,862.441428074251,2.29497528246657,"transit",2016,"16/05/10","19 36 37","+38 13 59",1475.3695316208,1,1,0,5792,-1.26456191789857,"Confirmed planets",0
"Kepler-1073 c",0,-12.5658429309837,0.146,4.02582254,16.4282695540983,0.559551702801215,34.7494248082072,289.321314629672,47.7123894831037,95.7050281154067,235.105351812843,1.03293069379942,"transit",2016,"16/05/10","19 36 37","+38 13 59",1172.51339357149,1,1,0,5792,1.50401617804625,"Confirmed planets",0
"Kepler-1074 b",0,-10.8329312913757,0.112,5.94566534,0.0444495322612193,0.0435270322291919,127.945969942506,275.701799418822,164.080693133938,78.4813374358019,933.555818510279,-0.641287977828478,"transit",2016,"16/05/10","18 57 54","+46 15 09",579.604413120319,0.6,0.57,-0.06,4002,-0.4703117260028,"Confirmed planets",0
"Kepler-1075 b",0,5.98965557682944,0.127,1.52372816,-21.4895688976104,-0.11121533267579,199.082866797987,231.742582849544,218.121954642642,129.978659485066,724.21435144109,1.6232106514134,"transit",2016,"16/05/10","19 10 00","+47 28 09",-574.991076203467,0.56,0.54,-0.17,3959,4.34473179973698,"Confirmed planets",0
"Kepler-1076 b",0,10.0791821316021,0.071,6.14727918,15.9433277392735,0.286613916303875,208.799727360539,-8.47217261456183,213.542702641022,65.7569384786159,306.19484121627,1.70114447368756,"transit",2016,"16/05/10","19 10 22","+51 03 38",775.090559868612,0.79,0.74,-0.01,4868,9.54363209149725,"Confirmed planets",0
"Kepler-1077 b",0,11.4104661525332,0.247,34.3511874,-0.636243277679228,0.0777141326865126,356.268168246934,128.930601893538,197.359366167996,29.6358473652592,1757.2014704771,2.01742334501566,"transit",2016,"16/05/10","19 24 08","+42 16 04",1719.05521429064,1.02,1.02,0.03,5816,3.09581344050589,"Confirmed planets",0
"Kepler-1078 b",0,-5.06145122719019,0.17,3.00725242,-9.3861471769761,0.289479661742733,170.869503645936,361.413737665406,19.5183714819304,116.903385440789,52.6225246354301,-0.287512242118254,"transit",2016,"16/05/10","19 32 48","+43 03 00",1849.79886099594,0.94,0.92,-0.01,5612,2.21014546043151,"Confirmed planets",0
"Kepler-1079 b",0,13.019367718352,0.145,13.24503188,16.8812496373842,0.0254342910076543,164.923183326372,62.5977613645886,270.266357459506,97.1205885543092,1073.84549653629,2.19632759700304,"transit",2016,"16/05/10","19 58 12","+45 46 11",630.828839916704,1.08,1.36,0.21,5758,3.96710018711118,"Confirmed planets",0
"Kepler-108 b",0,-6.0256101242212,0.78828,49.183921,0.25,0.22,143.036753236599,191.887962041817,98.391985057218,89.9,787.385422725565,1.20572702839694,"transit",2014,"14/02/26","19 38 14","+46 03 44",860.98,0.89,2.192,0.16608628188057,5854,7.48185317175806,"Confirmed planets",0
"Kepler-108 c",0,8.79990587226476,0.74545,190.323494,0.62,0.04,150.930361682309,108.413856517227,26.1032804665459,89.2,1359.27649483468,0.133880267316413,"transit",2014,"14/02/26","19 38 14","+46 03 44",860.98,0.89,2.192,-0.0352389450105453,5854,8.99996856517973,"Confirmed planets",1
"Kepler-1080 b",0,17.4947184697649,0.293,77.2548396,-23.7973770634341,0.0649222050539185,293.816912613007,109.815249149739,181.938003925361,70.5428464642841,950.566627611181,3.86733059881574,"transit",2016,"16/05/10","19 45 51","+49 10 58",490.82376195903,1.1,1.16,0.09,5956,8.14652231501943,"Confirmed planets",0
"Kepler-1081 b",0,6.77136698732234,0.09,3.85691855,-3.38881459752024,-0.0607769799904311,-33.5533468210146,208.181068100788,24.3948050140519,62.3115439447432,765.170347113653,0.988102770247919,"transit",2016,"16/05/10","19 17 47","+41 19 04",1073.60894155829,0.88,0.84,0.01,5345,11.5745890691655,"Confirmed planets",0
"Kepler-1082 b",0,16.7427154790113,0.1,1.5432066,-0.66597725458031,0.0702574767927536,12.1893522117851,206.396541270899,120.965143004746,82.7036813807714,1582.43241633013,0.889744539671652,"transit",2016,"16/05/10","19 17 26","+50 35 55",11.7364613907384,1.03,1.14,-0.06,5923,4.1431052587264,"Confirmed planets",0
"Kepler-1083 b",0,11.3748749306147,0.3,33.4177993,-14.8665748383735,-0.00268627393929324,213.650088925675,200.515517859813,218.366289342577,60.8426309779645,1013.27770947654,1.56575850727794,"transit",2016,"16/05/10","18 52 39","+45 11 54",651.237912638137,0.81,0.77,-0.02,5049,-1.01714186803361,"Confirmed planets",0
"Kepler-1084 b",0,-13.1179837175486,0.099,2.05333679,0.629485193383004,0.239205416534078,94.3085123812047,260.740752758138,70.5548245699278,112.036875516151,258.164920388316,2.16301633164878,"transit",2016,"16/05/10","19 20 24","+48 15 04",1408.28845439747,1.12,1.28,-0.02,6113,-3.82154727596129,"Confirmed planets",0
"Kepler-1085 b",0,-4.32585133606283,0.644,219.3217528,-23.7566484879447,-0.125853783539253,82.11725199809,405.761088389401,22.1526198693657,89.1548996005044,1464.40964824672,2.35931059405447,"transit",2016,"16/05/10","19 09 55","+46 08 28",935.513566334874,1.11,1.14,0.08,6000,-0.0436880980141057,"Confirmed planets",0
"Kepler-1086 b",0,0.996160174660932,0.218,18.78425728,2.13241183587171,0.0353700356835441,-89.5371069459101,270.327580287913,-19.6394423886213,93.4408429405651,582.051885216882,2.30770189421605,"transit",2016,"16/05/10","19 41 00","+45 50 35",1906.38555259214,0.7,0.66,0.06,4350,10.5783501564422,"Confirmed planets",0
"Kepler-1086 c",0,4.42734889041729,0.262,161.5163345,-15.4188809577612,0.0328459840174027,182.033402822378,242.892433873567,87.3519451458147,77.4176824304998,845.74056810029,0.421383117951108,"transit",2016,"16/05/10","19 41 00","+45 50 35",-292.979176295757,0.7,0.66,0.06,4350,11.0104669076929,"Confirmed planets",1
"Kepler-1087 b",0,4.52704547719015,0.054,0.69384285,-14.0570711505004,0.0633057962491852,303.486401515862,284.205573580322,79.6883353412425,103.107898163439,920.705318270812,4.18780396974055,"transit",2016,"16/05/10","19 39 55","+46 00 20",1093.74729391929,0.96,0.94,0.01,5589,9.57127555340291,"Confirmed planets",0
"Kepler-1088 b",0,5.41750685065536,0.127,23.12748644,16.6804783095039,0.353975365989294,165.786418825007,375.471383639542,106.70422693837,91.1001950196669,1152.9408112211,-0.483883718190273,"transit",2016,"16/05/10","18 46 15","+42 27 02",1564.13858731307,1.08,1.08,0.05,5975,-3.02432227738354,"Confirmed planets",0
"Kepler-1089 b",0,20.6169659448643,0.163,5.13248562,-9.53237775057539,-0.271102425154216,167.206958881856,246.325328401149,90.7337084271455,76.7815380951007,1156.77208818148,1.61102564922581,"transit",2016,"16/05/10","19 24 22","+49 11 24",1462.96118143905,0.52,0.49,-0.09,3753,16.2264753792381,"Confirmed planets",0
"Kepler-109 b",0,4.72566459299132,0.215979,6.48163,0.069,0.196718242086601,122.479961643719,181.776457559143,99.1520680008787,87,742.976905700301,1.2223415456196,"transit",2014,"14/02/24","19 21 34.263","+40 17 05.66",468.1,1.04,1.32,-0.08,5952,5.73,"Confirmed planets",0
"Kepler-109 c",0,-3.53809081845453,0.229648,21.2227,0.152,0.03,179.991687098357,187.390247312138,96.1959343372108,89.6,860.565411615754,2.42569116205563,"transit",2014,"14/02/24","19 21 34.263","+40 17 05.66",468.1,1.04,1.32,-0.08,5952,5.73,"Confirmed planets",0
"Kepler-1090 b",0,-4.45022423188319,0.201,198.680179,-18.472721998052,0.216014058586974,187.898281896591,141.284312084489,89.4571929728526,122.45804345029,60.2659227972507,1.73669496280611,"transit",2016,"16/05/10","19 42 39","+44 31 33",579.600957157485,0.86,0.82,-0.04,5321,-2.32255663493882,"Confirmed planets",1
"Kepler-1091 b",0,-26.8733420419025,0.13,1.43474156,-0.170989224779464,-0.0631474065691504,295.0365336821,209.130382342771,135.448285128145,120.133148443207,570.727457126666,-0.613836728511902,"transit",2016,"16/05/10","19 59 09","+43 40 15",754.050631104817,1.01,1.03,0,5851,1.80567987922852,"Confirmed planets",0
"Kepler-1092 b",0,-8.18585841828946,0.185,58.6017925,-1.6582593633277,-0.040323574061475,56.815064696594,217.648145035942,32.8000619449878,78.7476766296505,530.255661700602,0.525168473086821,"transit",2016,"16/05/10","19 50 54","+47 06 46",1499.51697498905,0.99,1,-0.09,5862,4.01546804711299,"Confirmed planets",0
"Kepler-1093 b",0,11.3233213495608,0.174,25.0824626,15.6794541262834,0.558668639019013,101.128955809234,189.136372534695,107.287707213113,92.3299213771698,574.510589587751,2.96994384416247,"transit",2016,"16/05/10","18 59 55","+41 25 13",975.574029771527,1.13,1.2,-0.01,6166,3.0935073406154,"Confirmed planets",0
"Kepler-1093 c",0,17.2429667328662,0.175,89.722292,24.0895681854426,0.560401885223396,203.704469103763,196.118481102691,145.49141016789,63.727863417267,831.070513332253,0.983767893301433,"transit",2016,"16/05/10","18 59 55","+41 25 13",1432.11503756837,1.13,1.2,-0.01,6166,1.18888066598689,"Confirmed planets",0
"Kepler-1094 b",0,10.9499228224594,0.284,78.1000231,14.9290427384023,0.370883310089213,-2.75312738750182,251.740636985979,81.1016104386385,91.8752301589147,877.719485924408,2.4416851316906,"transit",2016,"16/05/10","19 29 12","+38 16 01",1569.49645157738,1.14,1.21,0.06,6112,-0.406122353052566,"Confirmed planets",0
"Kepler-1095 b",0,8.59473729152292,0.108,4.27103091,8.88180754771595,0.602925171213952,-117.434969290121,150.379282887451,-10.9467010605183,93.3266708029891,-9.76886235507686,2.06184710502625,"transit",2016,"16/05/10","19 33 03","+41 21 54",600.384193335212,0.94,0.92,-0.09,5658,8.56317359602247,"Confirmed planets",0
"Kepler-1096 b",0,1.49974498140388,0.111,2.89221751,-8.80578747333027,-0.0593089430461705,50.8183751087308,334.557535750291,145.521600691401,92.6229734790593,627.052391329373,1.64259984602212,"transit",2016,"16/05/10","19 38 50","+45 58 10",-8.5751385618637,0.66,0.63,-0.1,4306,2.06419476352386,"Confirmed planets",0
"Kepler-1097 b",0,-4.31303524403877,0.291,187.747029,-5.62297095509263,0.352573130364377,206.234736564332,94.7112524239861,42.7258734432499,58.1307752360498,192.32365974635,2.04535201309405,"transit",2016,"16/05/10","18 46 23","+42 35 47",651.003369714602,0.82,0.79,-0.11,5211,4.6830107283714,"Confirmed planets",1
"Kepler-1098 b",0,-1.50837191995955,0.116,2.54307286,-1.51896493528549,0.253971200132013,74.1917888906235,164.32145844527,54.8044588731574,83.8564375446637,-50.1203302288607,0.947369941394477,"transit",2016,"16/05/10","19 42 01","+43 13 58",1058.77401890276,0.99,0.99,-0.02,5794,7.48298385211715,"Confirmed planets",0
"Kepler-1099 b",0,6.12687258983682,0.252,2.16845259,14.2577767192952,0.1793881276763,3.01202163092569,325.69292333066,-20.8684542998635,99.1673076702632,1265.39811716153,1.78123475251722,"transit",2016,"16/05/10","19 14 59.9","+48 16 38",2737.90581391568,1.01,1,-0.02,5837,0.437879628890628,"Confirmed planets",0
"Kepler-11 b",0,0.005977,0.164035,10.3039,0.091,0.045,195.445753378818,157.465156586125,183.273859596146,89.55,870.7,0.245382434777522,"transit",2011,"13/05/28","19 48 27","+41 54 33",613.20279,0.961,1.053,0.279837124336434,5663,8.1,"Confirmed planets",0
"Kepler-11 c",0,0.009028,0.261544,13.0241,0.107,0.026,51.5117665940328,305.337009931681,43.2921733842953,89.65,806.8,1.228926689049,"transit",2011,"13/05/28","19 48 27","+41 54 33",613.20279,0.961,1.053,-0.0195786969739492,5663,8.1,"Confirmed planets",0
"Kepler-11 d",0,0.022964,0.283415,22.6845,0.155,0.004,13.0035486273351,441.617017445454,-59.6742612149186,89.76,658.7,1.2195117628701,"transit",2011,"13/05/28","19 48 27","+41 54 33",613.20279,0.961,1.053,-0.295764117121452,5663,8.1,"Confirmed planets",0
"Kepler-11 e",0,0.025166,0.380925,31.9996,0.195,0.012,91.3173399330298,187.443006002017,91.7386397696174,88.91,596.4,1.35761133632131,"transit",2011,"13/05/28","19 48 27","+41 54 33",613.20279,0.961,1.053,0.117360198673189,5663,8.1,"Confirmed planets",0
"Kepler-11 f",0,0.006291,0.226003,46.6888,0.25,0.013,33.3750625742607,347.760382138264,-4.50558163220899,89.5,525.3,1.07027285605824,"transit",2011,"13/05/28","19 48 27","+41 54 33",613.20279,0.961,1.053,-0.11985041268007,5663,8.1,"Confirmed planets",0
"Kepler-11 g",0,25.833752426336,0.303464,118.3807,0.466,0.47017705864806,19.1987974554707,337.785853685556,-10.6953440569886,89.89,386.4,0.530401545205281,"transit",2011,"13/05/28","19 48 27","+41 54 33",613.20279,0.961,1.053,-0.261555574470177,5663,8.1,"Confirmed planets",0
"Kepler-110 b",0,2.48245317878353,0.16677,12.691112,-3.82216042664236,0.389763498045339,212.987829956206,176.040756947392,185.419100527488,87.2730852499751,355.975871084291,2.17626301617279,"transit",2014,"14/02/26","19 31 42","+48 36 10",532.42,1.067,1.149,0.104882614269076,5960,0.87517972081868,"Confirmed planets",0
"Kepler-110 c",0,-13.8647273863703,0.2014,31.719775,19.3064778037038,-0.00651678360123326,281.404674226988,136.338110926697,135.437430351291,99.118720792903,638.194993835842,0.0299465325049142,"transit",2014,"14/02/26","19 31 42","+48 36 10",532.42,1.067,1.149,-0.356167009610334,5960,-1.74016853415308,"Confirmed planets",0
"Kepler-1100 b",0,5.21164088392022,0.156,6.42200058,-2.35544164700115,0.0971900971226295,128.220142515748,246.90684739616,128.560024239117,76.3797300975844,760.199607417567,0.196702805174665,"transit",2016,"16/05/10","19 27 29","+44 05 15",488.122727284247,1.21,1.34,0.05,6247,3.31270193503358,"Confirmed planets",0
"Kepler-1101 b",0,12.957659650502,0.22,81.3151059,0.0267815723036831,0.199670857418785,94.3699767712254,218.170047691665,8.02031381877619,88.8263217479709,1136.37303592318,0.970141460984742,"transit",2016,"16/05/10","19 38 17","+45 40 17",884.090951645102,0.94,0.91,-0.04,5614,16.0102800032155,"Confirmed planets",0
"Kepler-1102 b",0,7.15245781159873,0.237,51.3285623,-14.5985741651087,-0.0280759067160204,156.914444348372,348.319700264622,37.3392604238854,89.2050987871603,1502.05635846687,1.88134278333966,"transit",2016,"16/05/10","18 45 17","+48 03 59",659.169923852496,0.96,0.94,-0.08,5724,8.366633233139,"Confirmed planets",0
"Kepler-1103 b",0,1.29275331298351,0.203,19.79191978,-14.3422020635352,0.200279449489835,68.0090207701261,242.642072549355,21.0733598086235,96.8632547097836,322.368455220717,1.47938141280408,"transit",2016,"16/05/10","19 09 32","+49 27 09",-141.258688639339,1.11,1.15,-0.01,6092,12.7336488324388,"Confirmed planets",0
