"PlanetIdentifier","TypeFlag","PlanetaryMassJpt","RadiusJpt","PeriodDays","SemiMajorAxisAU","Eccentricity","PeriastronDeg","LongitudeDeg","AscendingNodeDeg","InclinationDeg","SurfaceTempK","AgeGyr","DiscoveryMethod","DiscoveryYear","LastUpdated","RightAscension","Declination","DistFromSunParsec","HostStarMassSlrMass","HostStarRadiusSlrRad","HostStarMetallicity","HostStarTempK","HostStarAgeGyr","ListsPlanetIsOn","Probability_of_life"
"Kepler-1621 b",0,2.10974286495805,0.193,92.263714,-4.72644440580523,0.0631365474447389,225.102650725452,258.865869267032,127.272791549333,45.975074510726,1268.20551410211,3.2624731313025,"transit",2016,"16/05/10","19 50 21","+43 50 28",558.83787819789,1.15,1.24,0.03,6158,5.80047651596404,"Confirmed planets",0
"Kepler-1622 b",0,6.27448265120122,0.131,10.8118737,-3.16746018757753,0.353607031861525,274.089325011835,223.555027496063,54.141697155191,64.7284689530866,741.812647480419,3.15251564212189,"transit",2016,"16/05/10","19 49 19","+47 48 56",1855.24870097027,1.31,1.5,0.04,6436,3.92768060810126,"Confirmed planets",0
"Kepler-1623 b",0,-7.22703389410631,0.117,4.36128348,13.0864742127136,0.385144904917442,133.519894107222,247.192463216943,138.623916666089,103.816123197624,941.995868497788,1.94037045111679,"transit",2016,"16/05/10","19 36 20","+39 33 22",923.736796347497,1,1,0.04,5772,-1.67707669554577,"Confirmed planets",0
"Kepler-1624 b",0,-21.8578594449943,0.509,3.29030452,-16.745588523397,0.0872312833787442,-23.7390993360609,198.911532539898,50.0500129545322,82.7193275730011,-342.029904906829,3.517321976749,"transit",2016,"16/05/10","19 30 19","+37 22 35",1342.86119136471,0.5,0.47,0.06,3636,-0.572333085691255,"Confirmed planets",0
"Kepler-1625 b",0,-12.7518868014324,0.541,287.378949,-4.244226856489,0.494459272798958,217.883599577742,39.4460908867677,94.7089258009551,53.8509784634211,29.6907127699609,1.69880261233799,"transit",2016,"16/05/10","19 41 43","+39 53 12",-143.433563523808,0.96,0.94,0.01,5677,0.629141260036641,"Confirmed planets",1
"Kepler-1626 b",0,2.91434694000748,0.18,4.13962966,-17.6345351935769,0.104314122510007,96.827371944681,265.152174208397,21.479889600234,63.0122620164465,903.553346639077,0.855104739786648,"transit",2016,"16/05/10","19 46 00","+40 43 16",672.903103006252,1.51,1.85,0.04,6826,4.63071268988562,"Confirmed planets",0
"Kepler-1627 b",0,20.2576855899304,0.329,7.20283653,25.4951067095272,0.358697851197535,84.1892628653928,200.141373308937,119.605247122415,92.0627532837587,1330.75661263958,2.74873816507367,"transit",2016,"16/05/10","18 56 14","+41 34 36",581.636269518516,0.87,0.84,-0.1,5445,7.62541581743168,"Confirmed planets",0
"Kepler-1628 b",0,11.2234459096559,0.574,76.378033,20.0796404953387,0.27372853435382,265.598156560255,-42.7804732838138,325.492704256767,80.851135671387,305.547272171092,1.39425828991009,"transit",2016,"16/05/10","18 46 32","+43 24 42",273.811424836154,0.55,0.52,0.17,3724,-0.21422633561637,"Confirmed planets",1
"Kepler-1629 b",0,14.0466600493028,0.069,3.87595807,11.9201793380002,0.248614737253287,36.5639741832238,188.937567147945,100.305108757175,58.5710298035701,814.763852084055,1.97614124649687,"transit",2016,"16/05/10","18 40 50","+43 46 27",1818.07625008157,1.01,1.01,0.05,5776,4.42154045342952,"Confirmed planets",0
"Kepler-163 b",0,2.42082713011081,0.09569,7.810937,35.1814425330586,0.504433888521914,58.8320958963571,226.439631074358,-7.46123488504224,70.180633813707,1303.65682807295,0.979421206377577,"transit",2014,"14/02/26","19 40 00","+46 59 14",788.98,0.96,0.917,-0.166577672410843,5776,12.0531593131264,"Confirmed planets",0
